time,queue_avg,queue_max,delay_avg,delay_max,speed_avg,phase
447,64.73,200.88,,74.69,8.65,2
449,65.26,200.88,,76.69,10.32,2
451,65.22,200.88,,78.69,11.35,4
453,66.73,200.88,,80.69,10.80,4
455,66.81,200.85,,82.69,12.24,4
457,69.70,199.18,,81.01,11.58,4
459,59.52,151.36,,81.49,11.20,4
461,41.61,82.21,,75.69,11.16,1
463,44.41,84.61,,72.89,11.76,1
465,48.92,93.04,,72.67,12.11,1
467,49.77,98.74,,74.67,12.86,1
469,52.08,106.21,,76.67,12.91,1
471,55.55,117.81,,78.67,13.40,3
473,57.80,130.94,,80.67,13.18,3
475,52.07,144.58,,82.67,12.15,3
477,47.55,158.67,,84.67,11.86,3
479,51.91,170.98,,86.67,11.76,3
481,54.85,181.29,,88.67,10.47,2
483,59.61,189.69,,90.67,9.33,2
485,62.17,196.03,,92.67,11.30,2
487,61.09,195.81,,94.67,10.66,2
489,64.46,195.81,,96.67,9.80,4
491,64.36,195.81,,98.67,12.50,4
493,63.18,195.81,,100.67,11.40,4
495,63.20,195.81,,90.27,10.75,4
497,64.76,195.65,,84.37,10.57,4
499,59.44,170.34,,81.25,11.64,4
501,46.91,120.72,,81.76,13.18,4
