id,method,layout,inflow,intersection,outflow_type_1,outflow_type_2,outflow_type_3,outflow_others,outflow_all,phase_type_1,phase_type_2,phase_type_3,phase_others,phase_all,outflow_rate_type_1,outflow_rate_type_2,outflow_rate_type_3,outflow_rate_others,outflow_rate_all
20,4-Phase DRL,7-4-1,balanced_700,6,108.0,252.0,,,360.0,0.05,0.08944444444444444,0.0,0.0,0.13944444444444445,0.6,0.782608695652174,,,0.7171314741035857
21,4-Phase DRL,7-4-1,balanced_700,7,279.0,53.0,,,332.0,0.11444444444444445,0.025,0.0,0.0,0.13944444444444445,0.6771844660194175,0.5888888888888889,,,0.6613545816733067
22,4-Phase DRL,7-4-1,balanced_800,1,233.0,163.0,,,396.0,0.08388888888888889,0.05555555555555555,0.0,0.0,0.13944444444444445,0.7715231788079471,0.815,,,0.7888446215139442
23,4-Phase DRL,7-4-1,balanced_800,2,250.0,142.0,,,392.0,0.09222222222222222,0.04722222222222222,0.0,0.0,0.13944444444444445,0.7530120481927711,0.8352941176470589,,,0.7808764940239044
24,4-Phase DRL,7-4-1,balanced_800,3,297.0,75.0,,,372.0,0.10888888888888888,0.030555555555555555,0.0,0.0,0.13944444444444445,0.7576530612244898,0.6818181818181818,,,0.7410358565737052
25,4-Phase DRL,7-4-1,balanced_800,4,137.0,254.0,,,391.0,0.050555555555555555,0.08888888888888889,0.0,0.0,0.13944444444444445,0.7527472527472527,0.79375,,,0.7788844621513944
26,4-Phase DRL,7-4-1,balanced_800,5,202.0,194.0,,,396.0,0.07277777777777777,0.06666666666666667,0.0,0.0,0.13944444444444445,0.7709923664122137,0.8083333333333333,,,0.7888446215139442
27,4-Phase DRL,7-4-1,balanced_800,6,142.0,268.0,,,410.0,0.05555555555555555,0.08388888888888889,0.0,0.0,0.13944444444444445,0.71,0.8874172185430463,,,0.8167330677290837
28,4-Phase DRL,7-4-1,balanced_800,7,295.0,51.0,,,346.0,0.12,0.019444444444444445,0.0,0.0,0.13944444444444445,0.6828703703703703,0.7285714285714285,,,0.6892430278884463
29,4-Phase DRL,7-4-1,unbalanced,1,193.0,166.0,,,359.0,0.07833333333333334,0.06111111111111111,0.0,0.0,0.13944444444444445,0.6843971631205674,0.7545454545454545,,,0.7151394422310757
