id,method,layout,inflow,intersection,queue_avg,queue_max,delay_avg,delay_max,speed_avg,num_phase_changes,reward
33,SCOOT,7-4-1,balanced_600,5,24.475697211155378,48.32772908366534,17.31890995260664,50.75431279620853,18.494701195219125,42,
34,SCOOT,7-4-1,balanced_600,6,13.5898406374502,28.266653386454184,7.358571428571429,29.6440625,26.1003187250996,41,
35,SCOOT,7-4-1,balanced_600,7,18.101115537848607,38.32737051792829,11.055940594059408,35.65341584158416,22.39231075697211,42,
36,Proposed DRL,7-4-1,balanced_600,1,12.689285714285713,26.24543650793651,9.581000000000001,37.29330434782608,26.258055555555558,49,102.72
37,Proposed DRL,7-4-1,balanced_600,2,9.90563492063492,21.86801587301587,7.463137254901961,30.712107843137247,30.3618253968254,50,119.13
38,Proposed DRL,7-4-1,balanced_600,3,8.71111111111111,18.92984126984127,5.5031944444444445,27.937962962962963,30.1084126984127,49,115.22
39,Proposed DRL,7-4-1,balanced_600,4,8.344880952380953,16.765555555555554,6.042227074235808,27.10117903930131,29.512420634920634,50,107.52000000000001
40,Proposed DRL,7-4-1,balanced_600,5,12.11968253968254,21.656904761904766,9.714351851851852,36.47611111111111,25.983214285714283,49,98.27
41,Proposed DRL,7-4-1,balanced_600,6,6.414603174603175,14.219325396825397,4.774000000000001,23.16559090909091,32.260912698412696,51,126.73
42,Proposed DRL,7-4-1,balanced_600,7,8.583452380952382,20.040873015873014,8.361568627450978,51.34299019607842,30.609007936507936,49,120.91
43,Macro-State DRL,7-4-1,balanced_600,1,14.160674603174602,25.71773809523809,11.0825,38.94854545454545,24.702182539682536,50,96.08
44,Macro-State DRL,7-4-1,balanced_600,2,9.039880952380953,18.452460317460318,7.242766990291261,35.49165048543688,29.411428571428573,50,115.62
45,Macro-State DRL,7-4-1,balanced_600,3,9.85642857142857,20.42492063492064,7.552673267326734,38.349702970297024,27.91702380952381,47,106.49000000000001
46,Macro-State DRL,7-4-1,balanced_600,4,8.009880952380954,15.769960317460319,7.244260869565217,31.009347826086955,29.194365079365078,51,109.03999999999999
47,Macro-State DRL,7-4-1,balanced_600,5,13.452261904761905,23.433293650793654,11.038433179723503,38.615207373271886,24.780992063492064,51,92.82
48,Macro-State DRL,7-4-1,balanced_600,6,7.07888888888889,15.484444444444444,4.683087557603686,23.50147465437788,31.166428571428572,51,118.58
49,Macro-State DRL,7-4-1,balanced_600,7,9.026944444444444,20.72761904761905,10.173097826086956,53.895706521739115,29.040476190476195,49,116.15
50,4-Phase DRL,7-4-1,balanced_600,1,14.835476190476193,31.00968253968254,11.623716814159293,42.68269911504424,24.395317460317465,49,96.61
51,4-Phase DRL,7-4-1,balanced_600,2,13.178492063492063,31.024246031746035,8.325588235294118,31.4432843137255,27.540912698412697,47,114.48
52,4-Phase DRL,7-4-1,balanced_600,3,12.298333333333332,27.0275,8.546635071090048,44.73744075829383,26.234444444444446,47,101.22
53,4-Phase DRL,7-4-1,balanced_600,4,9.939484126984127,19.30166666666667,7.814632034632035,33.15116883116884,26.743214285714284,51,99.00999999999999
54,4-Phase DRL,7-4-1,balanced_600,5,15.336944444444445,31.065317460317456,11.770865800865801,43.50922077922078,23.693412698412697,50,90.06
55,4-Phase DRL,7-4-1,balanced_600,6,8.356150793650794,18.854801587301587,5.824470046082949,24.528248847926267,30.83238095238095,47,114.63999999999999
56,4-Phase DRL,7-4-1,balanced_600,7,8.741706349206348,19.386468253968253,8.407460317460318,46.12248677248679,29.29063492063492,44,114.43
57,SCOOT,7-4-1,balanced_700,1,37.762111553784855,76.96334661354581,23.7161038961039,63.405844155844164,16.549960159362545,42,
58,SCOOT,7-4-1,balanced_700,2,32.05681274900399,68.65015936254981,20.8140350877193,67.60679824561404,19.597171314741033,32,
59,SCOOT,7-4-1,balanced_700,3,34.888286852589644,71.64294820717132,16.71878378378378,47.54094594594595,18.154183266932275,37,
60,SCOOT,7-4-1,balanced_700,4,31.557689243027887,58.774023904382474,22.558122065727694,57.032300469483566,17.382509960159364,41,
61,SCOOT,7-4-1,balanced_700,5,41.23274900398406,80.25458167330677,26.49720338983051,64.30737288135595,15.59784860557769,40,
62,SCOOT,7-4-1,balanced_700,6,19.560517928286853,34.506972111553786,12.75353982300885,37.502831858407085,22.944103585657366,41,
63,SCOOT,7-4-1,balanced_700,7,33.12382470119522,65.55764940239044,16.149378238341967,51.74943005181347,18.97760956175299,38,
64,4-Phase DRL,7-4-1,balanced_700,1,39.734246031746025,111.94480158730158,25.08205128205128,76.45888888888888,17.234087301587305,49,74.88999999999999
65,4-Phase DRL,7-4-1,balanced_700,2,17.970317460317457,39.77849206349207,11.800610328638497,43.70572769953051,25.849722222222223,45,109.21
66,4-Phase DRL,7-4-1,balanced_700,3,17.28107142857143,35.902460317460324,11.26846153846154,52.5279487179487,23.97936507936508,42,97.95
67,4-Phase DRL,7-4-1,balanced_700,4,16.14980158730159,30.524166666666673,11.625221238938053,39.87495575221239,23.70595238095238,50,91.13
68,4-Phase DRL,7-4-1,balanced_700,5,33.29448412698413,83.13202380952382,21.226651785714285,69.51071428571429,18.12448412698413,48,71.78
69,4-Phase DRL,7-4-1,balanced_700,6,13.200515873015874,28.850714285714282,8.261397379912664,30.411746724890833,27.469563492063493,48,105.9
