time,phase
699.0,1.0
701.0,3.0
703.0,3.0
705.0,3.0
707.0,3.0
709.0,3.0
711.0,3.0
713.0,3.0
715.0,3.0
717.0,2.0
719.0,2.0
721.0,2.0
723.0,2.0
725.0,2.0
727.0,2.0
729.0,2.0
731.0,2.0
733.0,2.0
735.0,2.0
737.0,2.0
739.0,2.0
741.0,2.0
743.0,2.0
745.0,2.0
747.0,4.0
749.0,4.0
751.0,4.0
753.0,4.0
755.0,4.0
757.0,1.0
759.0,1.0
761.0,1.0
763.0,1.0
765.0,1.0
767.0,1.0
769.0,1.0
771.0,1.0
773.0,1.0
775.0,1.0
777.0,1.0
779.0,1.0
781.0,1.0
783.0,1.0
785.0,1.0
787.0,1.0
789.0,1.0
791.0,3.0
793.0,3.0
795.0,3.0
797.0,3.0
799.0,3.0
801.0,3.0
803.0,3.0
805.0,3.0
807.0,3.0
809.0,2.0
811.0,2.0
813.0,2.0
815.0,2.0
817.0,2.0
819.0,2.0
821.0,2.0
823.0,2.0
825.0,2.0
827.0,2.0
829.0,2.0
831.0,2.0
833.0,2.0
835.0,2.0
837.0,2.0
839.0,2.0
841.0,2.0
843.0,2.0
845.0,4.0
847.0,4.0
849.0,4.0
851.0,4.0
853.0,4.0
855.0,4.0
857.0,1.0
859.0,1.0
861.0,1.0
863.0,1.0
865.0,1.0
867.0,1.0
869.0,1.0
871.0,1.0
873.0,1.0
875.0,1.0
877.0,1.0
879.0,1.0
881.0,1.0
883.0,1.0
885.0,1.0
887.0,1.0
889.0,1.0
891.0,1.0
893.0,3.0
895.0,3.0
897.0,3.0
899.0,3.0
901.0,3.0
903.0,3.0
905.0,3.0
907.0,3.0
909.0,2.0
911.0,2.0
913.0,2.0
915.0,2.0
917.0,2.0
919.0,2.0
921.0,2.0
923.0,2.0
925.0,2.0
927.0,2.0
929.0,2.0
931.0,2.0
933.0,2.0
935.0,2.0
937.0,2.0
939.0,2.0
941.0,2.0
943.0,2.0
945.0,2.0
947.0,2.0
949.0,2.0
951.0,4.0
953.0,4.0
955.0,4.0
957.0,4.0
959.0,4.0
961.0,4.0
963.0,4.0
965.0,1.0
967.0,1.0
969.0,1.0
971.0,1.0
973.0,1.0
975.0,1.0
977.0,1.0
979.0,1.0
981.0,1.0
983.0,1.0
985.0,1.0
987.0,1.0
989.0,1.0
991.0,1.0
993.0,1.0
995.0,1.0
997.0,1.0
999.0,3.0
